RK,NAME,POS,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,STL,BLK,TO,DD2,TD3,PER
1,James HardenHOU,SG,68,36.5,34.3,9.9,22.3,44.4,4.4,12.4,35.5,10.2,11.8,86.5,6.6,7.5,1.8,0.9,4.5,22,4,29.11
2,Bradley BealWSH,SG,57,36,30.5,10.4,22.9,45.5,3,8.4,35.3,6.8,8,84.2,4.2,6.1,1.2,0.4,3.4,8,0,23.22
3,Damian LillardPOR,PG,66,37.5,30,9.5,20.4,46.3,4.1,10.2,40.1,7,7.8,88.8,4.3,8,1.1,0.3,2.9,19,1,26.95
4,Trae YoungATL,PG,60,35.3,29.6,9.1,20.8,43.7,3.4,9.5,36.1,8,9.3,86,4.3,9.3,1.1,0.1,4.8,28,2,23.95
5,Giannis AntetokounmpoMIL,PF,63,30.4,29.5,10.9,19.7,55.3,1.4,4.7,30.4,6.3,10,63.3,13.6,5.6,1,1,3.7,56,4,31.94
6,Luka DoncicDAL,SG,61,33.6,28.8,9.5,20.6,46.3,2.8,8.9,31.6,7,9.2,75.8,9.4,8.8,1,0.2,4.3,39,17,27.65
7,Russell WestbrookHOU,PG,57,35.9,27.2,10.6,22.5,47.2,1,3.7,25.8,5.1,6.7,76.3,7.9,7,1.6,0.4,4.5,22,8,21.1
8,Kawhi LeonardLAC,SF,57,32.4,27.1,9.3,19.9,47,2.2,5.7,37.8,6.2,7.1,88.6,7.1,4.9,1.8,0.6,2.6,13,1,26.91
9,Devin BookerPHX,SG,70,35.9,26.6,9,18.3,48.9,2,5.7,35.4,6.7,7.3,91.9,4.2,6.5,0.7,0.3,3.8,11,0,20.64
10,Anthony DavisLAL,PF,62,34.4,26.1,8.9,17.7,50.3,1.2,3.5,33,7.2,8.5,84.6,9.3,3.2,1.5,2.3,2.5,29,0,27.5
11,Zach LaVineCHI,PG,60,34.8,25.5,9,20,45,3.1,8.1,38,4.5,5.6,80.2,4.8,4.2,1.5,0.5,3.4,2,0,19.52
12,LeBron JamesLAL,SF,67,34.6,25.3,9.6,19.4,49.3,2.2,6.3,34.8,3.9,5.7,69.3,7.8,10.2,1.2,0.5,3.9,46,13,25.55
13,Donovan MitchellUTAH,SG,69,34.3,24,8.7,19.4,44.9,2.5,6.9,36.6,4,4.7,86.3,4.4,4.3,1,0.2,2.7,1,0,18.86
14,Brandon IngramNO,SF,62,33.9,23.8,8.2,17.7,46.3,2.4,6.2,39.1,5,5.9,85.1,6.1,4.2,1,0.6,3,9,0,18.88
15,Jayson TatumBOS,PF,66,34.3,23.4,8.4,18.6,45,2.9,7.1,40.3,3.8,4.7,81.2,7,3,1.4,0.9,2.3,10,0,20.45
16,Pascal SiakamTOR,PF,60,35.2,22.9,8.3,18.4,45.3,2.2,6.1,35.9,4,5.1,79.2,7.3,3.5,1,0.9,2.5,12,0,17.96
17,CJ McCollumPOR,SG,70,36.5,22.2,8.7,19.4,45.1,2.8,7.3,37.9,2,2.6,75.7,4.2,4.4,0.8,0.6,1.8,4,0,17.08
18,DeMar DeRozanSA,SF,68,34.1,22.1,8.2,15.4,53.1,0.1,0.5,25.7,5.6,6.6,84.5,5.5,5.6,1,0.3,2.4,7,0,21.66
19,Andrew WigginsGS/MIN,SF,54,34.4,21.8,8.1,18.1,44.7,2.1,6.2,33.2,3.5,5,70.9,5.1,3.7,0.8,1,2.4,4,1,16.44
20,De'Aaron FoxSAC,PG,51,32,21.1,7.7,16,48,1.1,3.6,29.2,4.7,6.7,70.5,3.8,6.8,1.5,0.5,3.1,9,0,20.7
21,Khris MiddletonMIL,SF,62,29.9,20.9,7.6,15.3,49.7,2.4,5.7,41.5,3.4,3.7,91.6,6.2,4.3,0.9,0.1,2.2,7,0,21.2
22,Collin SextonCLE,PG,65,33,20.8,7.9,16.7,47.2,1.5,3.9,38,3.5,4.1,84.6,3.1,3,1,0.1,2.4,0,0,16.39
23,Spencer DinwiddieBKN,PG,64,31.2,20.6,6.6,16,41.5,1.9,6.3,30.8,5.4,7,77.8,3.5,6.8,0.6,0.3,2.7,9,0,17.9
24,Kemba WalkerBOS,PG,56,31.1,20.4,6.8,15.9,42.5,3.2,8.4,38.1,3.7,4.3,86.4,3.9,4.8,0.9,0.5,2.1,2,0,20
25,Kristaps PorzingisDAL,PF,57,31.8,20.4,7,16.4,42.7,2.5,7.1,35.2,4,5,79.9,9.5,1.8,0.7,2,1.6,25,0,20.3
26,Jaylen BrownBOS,SG,57,33.9,20.3,7.5,15.6,48.1,2.3,5.9,38.2,3.1,4.3,72.4,6.4,2.1,1.1,0.4,2.2,8,0,17
27,Bojan BogdanovicUTAH,SF,63,33.1,20.2,6.6,14.8,44.7,3,7.3,41.4,4,4.4,90.3,4.1,2.1,0.5,0.1,2.5,0,0,15.67
28,Jimmy ButlerMIA,SF,58,33.8,19.9,5.9,13.1,45.5,0.5,2.1,24.4,7.6,9.1,83.4,6.7,6,1.8,0.6,2.2,11,3,23.61
29,Nikola JokicDEN,C,73,32,19.9,7.7,14.7,52.8,1.1,3.5,31.4,3.4,4.1,81.7,9.7,7,1.2,0.6,3.1,43,13,24.97
30,T.J. WarrenIND,SF,67,32.9,19.8,8,14.9,53.6,1.4,3.4,40.3,2.5,3,81.9,4.2,1.5,1.2,0.5,1.3,2,0,18.45
31,Tobias HarrisPHI,SF,72,34.3,19.6,7.7,16.3,47.1,1.8,5,36.7,2.4,3,80.6,6.9,3.2,0.7,0.6,1.4,11,0,17.25
32,Nikola VucevicORL,C,62,32.2,19.6,8,16.7,47.7,1.6,4.7,33.9,2.1,2.7,78.4,10.9,3.6,0.9,0.8,1.4,41,0,21.95
33,Julius RandleNY,PF,64,32.5,19.5,7.2,15.7,46,1,3.6,27.7,4,5.5,73.3,9.7,3.1,0.8,0.3,3,30,0,17.55
34,Kyle LowryTOR,PG,58,36.2,19.4,5.8,13.8,41.6,2.8,8,35.2,5.1,5.9,85.7,5,7.5,1.4,0.4,3.1,15,2,17.75
